canonical_name	aliases	development_codes	target	company	highest_stage	development_status	nct_ids	adc_scope	catalog_status	sources
Iladatuzumab vedotin	DCDS 0780A; DCDS-0780A; DCDS0780A; Iladatuzumab vedotin; RG 7986; RG7986; RO-7032005		B-cell antigen receptor complex-associated protein beta chain (CD79B)	F. Hoffmann-La Roche Ltd; Roche Holding AG	Phase1	Phase 1 (Terminated)	NCT02453087	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
ZV-0203					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
DXC-004A	DXC 004A; DXC-004A; DXC004A		Epidermal growth factor receptor (EGFR)	Hangzhou DAC Biotech Co., Ltd	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Enfortumab vedotin	AGS-22C3; AGS-22CE; AGS-22M6E; AGS-22ME; AGS-M6; ASG-22CE; ASG-22M6E; ASG-22ME; ASP7465; DLE8519RWM; Enfortumab Vedotin-ejfv		Nectin-4 (NECTIN4)	Astellas Pharma, Inc; Seagen Inc; Baxter Oncology GmbH	Approved	Approved (FDA): Dec, 2019	NCT02091999; NCT03070990; NCT03219333; NCT03474107; NCT04223856	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
SYS6023					Phase1	Phase 1	NCT07110883	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Bivatuzumab mertansine	Anti-CD44v6-DM1 immunoconjugate; BIW1-1; BIWI-1; Bivatuzumab mertansine; Monoclonal antibody CD44v6-DM1 immunoconjugate		CD44 antigen (CD44)	ImmunoGen, Inc; Boehringer Ingelheim GmbH	Phase1	Phase 1 (Terminated)	NCT02254005; NCT02254018; NCT02254031; NCT02254044	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BSI-077	Anticlaudin18.2 monoclonal antibody Biosion; BSI077; BSI 077		Claudin-18.2 (CLDN18.2)	Biosion, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BL-M005A2	BLM005A2; BL M005A2		Undisclosed	Systimmune, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
GQ-1001	GQ 1001; GQ-1001; GQ1001; GQ1001(Trastuzumab-ADC)		Receptor tyrosine-protein kinase erbB-2 (HER2)	GeneQuantum Healthcare (Suzhou) Co. Ltd	Phase1	Phase 1	NCT04450732; NCT05575804	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
TAK-500	TAK 500; TAK-500; TAK500		C-C chemokine receptor type 2 (CCR2)	Takeda Pharmaceutical Co., Ltd	Phase2	Phase 1/2 (Terminated)	NCT04420884; NCT04879849	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
