entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
PATR0EDEOA	Induced myeloid leukemia cell differentiation protein Mcl-1 (MCL1)	PAYLOAD_MOA_TARGET	Bcl-2-like protein 3 (Bcl2-L-3); Bcl-2-related protein EAT/mcl1; mcl1/EAT; MCL1; BCL2L3	1	S-227928		https://adcdb.idrblab.net/data/plt/details/PATR0EDEOA
PATR0YLMXI	Integrin alpha-5 (ITGA5)	PAYLOAD_MOA_TARGET	FNRA; CD49 antigen-like family member E; Fibronectin receptor subunit alpha; Integrin alpha-F; VLA-5; CD_antigen=CD49e	4	PPDN1 AP25; PPDN2 AP25; PPDN3 AP25; PSG4R AP25		https://adcdb.idrblab.net/data/plt/details/PATR0YLMXI
PATR0JRULF	Interferon alpha-1/13 (IFNA1; IFNA13)	PAYLOAD_MOA_TARGET	Interferon alpha-D	1	TAK-573		https://adcdb.idrblab.net/data/plt/details/PATR0JRULF
PATR0TYCUL	Kinesin-like protein KIF11 (KIF11)	PAYLOAD_MOA_TARGET	EG5; KNSL1; TRIP5; Kinesin-like protein 1; Kinesin-like spindle protein HKSP; Kinesin-related motor protein Eg5; Thyroid receptor-interacting protein 5	25		DRG0CNLOL; DRG0DDJGM; DRG0DWCPC; DRG0EZXOL; DRG0FAGXZ; DRG0FIRAJ; DRG0GKMCJ; DRG0JDMQQ; DRG0JSQUA; DRG0JVCZC; DRG0LDXSO; DRG0MELUP; DRG0MEYZH; DRG0QUQGS; DRG0QYKCV; DRG0RGEGV; DRG0TJPOA; DRG0TLDLT; DRG0TXVPI; DRG0UGBDK; DRG0VALSS; DRG0VWORF; DRG0WZSSJ; DRG0XZCCQ; DRG0ZTZMD	https://adcdb.idrblab.net/data/plt/details/PATR0TYCUL
PAYTAR0GLHTL	Microtubule (MT)+DNA topoisomerase 1 (TOP1)	PAYLOAD_MOA_TARGET		2	IBI-3020; IBI3028		https://adcdb.idrblab.net/data/plt/details/PAYTAR0GLHTL
PATR0EDCOX	Microtubule (MT)+unclear Function 1	PAYLOAD_MOA_TARGET		1	IBI-3020		https://adcdb.idrblab.net/data/plt/details/PATR0EDCOX
PATR0CXRBX	Microtubule (MT)	PAYLOAD_MOA_TARGET		2157		DRG0AAUTM; DRG0AAXIE; DRG0ACANT; DRG0ACJDV; DRG0ACMVP; DRG0ACQCV; DRG0ADMHI; DRG0ADPKB; DRG0ADPKT; DRG0ADSTC; DRG0ADUVQ; DRG0ADXZX; DRG0AEBMA; DRG0AECRR; DRG0AEFVC; DRG0AEHKY; DRG0AEUXN; DRG0AFEZA; DRG0AFIVC; DRG0AGEUP; DRG0AGONA; DRG0AGWDB; DRG0AHAXH; DRG0AHNXQ; DRG0AHRRD; DRG0AHSMK; DRG0AICUG; DRG0AIRCI; DRG0AIVFW; DRG0AIYIV	https://adcdb.idrblab.net/data/plt/details/PATR0CXRBX
PATR0DQJKW	Mineralocorticoid receptor (NR3C2)	PAYLOAD_MOA_TARGET	MCR, MLR; Nuclear receptor subfamily 3 group C member 2	1		DRG0PKYBF	https://adcdb.idrblab.net/data/plt/details/PATR0DQJKW
PATR0YTGZR	Nicotinamide phosphoribosyltransferase (NAMPT)	PAYLOAD_MOA_TARGET	PBEF, PBEF1; Pre-B-cell colony-enhancing factor 1; Visfatin	18	B7H3-EC1; B7H3-EC2; B7H3-EC3 DAR4.1; B7H3-EC3 DAR7.8; B7H3-EC4; B7H3-EC5; C4.4A-EC1; C4.4A-EC2; C4.4A-EC3; C4.4A-EC4; C4.4A-EC5; DRG0IDOZG; DRG0YDLQR; HER2-EC1; HER2-EC3; HER2-EC4 DAR2.7; HER2-EC4 DAR7.8; HER2-EC5		https://adcdb.idrblab.net/data/plt/details/PATR0YTGZR
PATR0CODOT	Nuclear factor NF-kappa-B p105 subunit (NFKB1)	PAYLOAD_MOA_TARGET	DNA-binding factor KBF1 EBP-1	7		DRG0GSKME; DRG0IJVEW; DRG0MYPUV; DRG0PILVE; DRG0PPLJW; DRG0RINVT; DRG0XAMIX	https://adcdb.idrblab.net/data/plt/details/PATR0CODOT
