entity_id	canonical_name	entity_type	payload_moa_target	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
PAY0OSSQB	STING agonist of TAK500	ADC_PAYLOAD	Stimulator of interferon genes protein (STING1)	STING agonist of TAK500	1		DRG0BGJNX	https://adcdb.idrblab.net/data/payload/details/PAY0OSSQB
PAY0VCXZK	STING agonist of XMT-2056	ADC_PAYLOAD	Stimulator of interferon genes protein (STING1)	STING agonist of XMT-2056	0			https://adcdb.idrblab.net/data/payload/details/PAY0VCXZK
PAY0ONJLH	STING agonist	ADC_PAYLOAD	Stimulator of interferon genes protein (STING1)	STING agonist	0			https://adcdb.idrblab.net/data/payload/details/PAY0ONJLH
PAY0ZYLID	SW-163D	ADC_PAYLOAD	Human Deoxyribonucleic acid (hDNA)	SW-163D; UK 63598; UK 63,598; UK-63598; CHEBI:87399; Q27105119; N,N'-[(1S,1'R,2S,2''S,8'R,11'S,14'R,17'S,21'R,24'S,27'R)-2,2'',3',11',13',16',24',26'-octamethyl-27'-(methylsulfanyl)-2',5',9',12',15',18',22',25'-octaoxo-6',19'-dioxa-28'-thia-3',10',13',16',23',26'-hexaazadispiro[cyclopropane-1,4'-bicyclo[12.12.3]nonacosane-17',1''-cyclopropane]-8',21'-diyl]bis(3-hydroxyquinoline-2-carboxamide)	1		DRG0LSAKO	https://adcdb.idrblab.net/data/payload/details/PAY0ZYLID
PAY0QCAJM	Saporin	ADC_PAYLOAD	Microtubule (MT)	Ber-H2/saporin; D0A9QL	4		DRG0MIBTH; DRG0RITMD; DRG0YOUXZ; DRG0ZMDPX	https://adcdb.idrblab.net/data/payload/details/PAY0QCAJM
PAY0VUCBG	Seco-CBI-dimer 12	ADC_PAYLOAD	Human Deoxyribonucleic acid (hDNA)	Seco-CBI-dimer 12	2	Alpha-CD22-LC-K149C-12; Alpha-gD-LC-K149C-12		https://adcdb.idrblab.net/data/payload/details/PAY0VUCBG
PAY0WENAC	Seco-MED-A	ADC_PAYLOAD	Human Deoxyribonucleic acid (hDNA)	Seco-MED-A	1		DRG0JUOLN	https://adcdb.idrblab.net/data/payload/details/PAY0WENAC
PAY0KIPUQ	Self-developed TOP1 inhibitor	ADC_PAYLOAD			0			https://adcdb.idrblab.net/data/payload/details/PAY0KIPUQ
PAY0EJXWD	Shiga toxin B subunit (StxB)	ADC_PAYLOAD	Ribosome (RB)	Shiga toxin B subuni (StxB)	1		DRG0LNACX	https://adcdb.idrblab.net/data/payload/details/PAY0EJXWD
PAY0ISVPY	Silicon Phthalocyanine	ADC_PAYLOAD		Silicon phthalocyanine; Sipc IV; 135719-28-7; Silicon Phthalocyanine 4; Hosipcosi(CH3)2(CH2)3N(CH3)2; (OC-6-23)-((3-(Dimethylamino)propyl)dimethylsilanolato-O)hydroxy(29H,31H-phthalocyaninato(2-)-N(29),N(30),N(31),N(32))silicon; 3-[dimethyl(oxido)silyl]-N,N-dimethylpropan-1-amine;2,11,20,37,38-pentaza-39,40-diazanidanonacyclo[28.6.1.13,10.112,19.121,28.04,9.013,18.022,27.031,36]tetraconta-1,3,5,7,9,11,13,15,17,19,21(38),22,24,26,28,30(37),31,33,35-nonadecaene;silicon(4+);hydroxide; Silicon, ((3-(dimethylamino)propyl)dimethylsilanolato-kappaO)hydroxy(29H,31H-phthalocyaninato(2-)-kappaN29,kappaN30,kappaN31,kappaN32)-, (OC-6-23)-; Silicon, ((3-(dimethylamino)propyl)dimethylsilanolato-O)hydroxy(29H,31H-phthalocyaninato(2-)-N(29),N(30),N(31),N(32))-, (OC-6-23)-; Cl2SiPc; UNII-VM2R9Z8DTW; Silicon phthalocyanine Pc4; C39H35N9O2Si2; DTXSID00159502; C39-H35-N9-O2-Si2; NSC 676418; LS-186965	1	ZHER2:342-Cupid-His-Ax-SiPc		https://adcdb.idrblab.net/data/payload/details/PAY0ISVPY
PAY0LXBQB	Sodium butyrate	ADC_PAYLOAD	Histone deacetylase 1 (HDAC1)	SODIUM BUTYRATE; 156-54-7; Sodium butanoate; Butyric acid sodium salt; Butanoic acid, sodium salt; Butyric acid, sodium salt; Butyrate sodium; Sodium n-butyrate; sodium;butanoate; Sodium propanecarboxylate; Butanoic acid sodium salt; C4H7NaO2; CCRIS 7068; HSDB 5655; Sodium butyrate (USP); Sodium butyrate [USP]; TPA/BA; Butanoic acid, sodium salt (1:1); EINECS 205-857-6; NSC 174280; UNII-8RAS91C36W; 8RAS91C36W; DTXSID3037672; CHEBI:64103; NSC-174280; Tetradecanoyl phorbol acetate/ sodium butyrate; Butyric Acid, Na; tetradecanoyl phorbol acetate (TPA)/ sodium butyrate (BA); CHEMBL62381; NSC174280; SODIUM BUTYRATE-3,3,4,4,4-D5; NCGC00167555-01; MFCD00002816; sodiumbutyrate; 204244-79-1; Sodium butyrate, 98%; D0I7IB; C4H8O2.Na; SCHEMBL30148; SODIUM BUTYRATE [HSDB]; DTXCID1017672; HY-B0350A; SODIUM BUTYRATE [USP-RS]; SODIUM BUTYRATE [WHO-DD]; MFBOGIVSZKQAPD-UHFFFAOYSA-M; HMS3650B09; BCP31813; Butanoicacidsodiumsalt butyratesodium; Tox21_112550; HB1399; OR8783; s1999; Sodium butyrate, >=98.5% (GC); Sodium butyrate, >=99.0% (GC); AKOS003051490; AKOS015899795; CCG-266046; CS-3924; SODIUM BUTYRATE [USP MONOGRAPH]; AS-13929; CAS-156-54-7; LS-48173; FT-0660356; FT-0694101; D08998; AB01274751-01; Sodium butyrate, Vetec(TM) reagent grade, 99%; A921858; Q305004; Sodium butyrate, certified reference material, TraceCERT(R); Sodium butyrate, United States Pharmacopeia (USP) Reference Standard	0			https://adcdb.idrblab.net/data/payload/details/PAY0LXBQB
