entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
TAR0JNOKW	CD44 antigen (CD44)	ADC_TARGET		28	Bivatuzumab mertansine; DRG0ALMJS; DRG0BJVBS; DRG0BWJRS; DRG0DALSM; DRG0DALSX; DRG0FATXO; DRG0FGHXO; DRG0FUUUT; DRG0GIVMN; DRG0GJKMP; DRG0IIYKC; DRG0IQIMS; DRG0IVTDI; DRG0IWYSU; DRG0JBYQU; DRG0JGPVZ; DRG0KNJWR; DRG0KRZEK; DRG0NNEGL; DRG0NWXZC; DRG0PVXXI; DRG0SUYMP; DRG0UAWMV; DRG0URWNX; DRG0WAYCG; DRG0WYNCQ; DRG0YLNBD		https://adcdb.idrblab.net/data/abt/details/TAR0JNOKW
TAR0JNOKWK	CD44 antigen (CD44)	ADC_TARGET	LHR; MDU2; MDU3; MIC4; CDw44;Epican;Extracellular matrix receptor III;GP90 lymphocyte homing/adhesion receptor;HUTCH-I;Heparan sulfate proteoglycan;Hermes antigen;Hyaluronate receptor;Phagocytic glycoprotein 1;Phagocytic glycoprotein I;CD_antigen=CD44	1		DRG0BBYHA	https://adcdb.idrblab.net/data/abt/details/TAR0JNOKWK
TAR0JNOKO	CD44 antigen variant 9 (CD44v9)	ADC_TARGET	LHRv9; MDU2v9; MDU3v9; MIC4v9; CDw44v9;Epicanv9;Extracellular matrix receptor IIIv9;GP90 lymphocyte homing/adhesion receptor v9;HUTCH-I v9;Heparan sulfate proteoglycan v9;Hermes antigen v9;Hyaluronate receptor v;Phagocytic glycoprotein 1 v9;Phagocytic glycoprotein I v9;CD_antigen=CD44 v9	1	AMT-116		https://adcdb.idrblab.net/data/abt/details/TAR0JNOKO
TAR0KRCZB	CD44v9	ADC_TARGET		1	AMT-116		https://adcdb.idrblab.net/data/abt/details/TAR0KRCZB
TAR0YEHBY	CD48 antigen (CD48)	ADC_TARGET	BCM1; BLAST1; B-lymphocyte activation marker BLAST-1;BCM1 surface antigen;Leukocyte antigen MEM-102;SLAM family member 2;Signaling lymphocytic activation molecule 2;TCT.1;CD_antigen=CD48	1		DRG0NMCNN	https://adcdb.idrblab.net/data/abt/details/TAR0YEHBY
TAR0RPVKX	CD59 glycoprotein (CD59)	ADC_TARGET	MIC11; MIN1; MIN2; MIN3; MSK21; 1F5 antigen; 20 kDa homologous restriction factor; MAC-inhibitory protein; MEM43 antigen; Membrane attack complex inhibition factor; Membrane inhibitor of reactive lysis; Protectin; CD_antigen=CD59	18	Anti-CD59 mAb-Compound 17; Anti-CD59 mAb-Compound 25; Anti-CD59 mAb-Compound 31; Anti-CD59 mAb-Compound 36; Anti-CD59 mAb-Compound 43; Anti-CD59 mAb-Compound 49; Anti-CD59 mAb-Compound 55; Anti-CD59 mAb-Compound 59; Anti-CD59 mAb-Compound 64; Anti-CD59 mAb-Compound 69; Anti-CD59 mAb-Compound 74; Anti-CD59 mAb-Compound 75; Anti-CD59 mAb-Compound 76; Anti-CD59 mAb-Compound 77; Anti-CD59 mAb-Compound 78; Anti-CD59 mAb-Compound 79; Anti-CD59 mAb-Compound 80; Anti-CD59 mAb-Compound 9		https://adcdb.idrblab.net/data/abt/details/TAR0RPVKX
TAR0KPFBI	CD70 antigen (CD70)	ADC_TARGET	CD27L; CD27LG; TNFSF7; CD27 ligand;Tumor necrosis factor ligand superfamily member 7;CD_antigen=CD70	189		DRG0AHNXQ; DRG0AOXKY; DRG0APNOT; DRG0ASZQJ; DRG0BKQBT; DRG0BQBRZ; DRG0BQFOR; DRG0BVIPV; DRG0BWCTV; DRG0BWOTU; DRG0CCZUI; DRG0CDFYE; DRG0CGKQT; DRG0CGRZF; DRG0CJKNB; DRG0CNAHG; DRG0COITQ; DRG0CPWIZ; DRG0CRUZX; DRG0CSSXE; DRG0CWBKD; DRG0DCZWJ; DRG0DDIJU; DRG0DEARE; DRG0DELXO; DRG0DMTTD; DRG0DOFKJ; DRG0DPHYA; DRG0DQZFW; DRG0DXVZG	https://adcdb.idrblab.net/data/abt/details/TAR0KPFBI
TAR0ESQBL	CD99 antigen (CD99)	ADC_TARGET	MIC2; MIC2X; MIC2Y; 12E7;E2 antigen;Protein MIC2;T-cell surface glycoprotein E2;CD_antigen=CD99	2		DRG0MBRPM; DRG0QOWCK	https://adcdb.idrblab.net/data/abt/details/TAR0ESQBL
TAR0NNZOK	CLL-1	ADC_TARGET		1	RG6109		https://adcdb.idrblab.net/data/abt/details/TAR0NNZOK
TAR0QJKRF	CUB domain-containing protein 1 (CDCP1)	ADC_TARGET	TRASK; UNQ2486; PRO5773; Membrane glycoprotein gp140;Subtractive immunization M plus HEp3-associated 135 kDa protein;Transmembrane and associated with src kinases;CD_antigen=CD318	2	10D7-MMAE; H14A043-ATAC		https://adcdb.idrblab.net/data/abt/details/TAR0QJKRF
TAR0PQIJF	Cadherin-17 (CDH17)	ADC_TARGET	Intestinal peptide-associated transporter HPT-1;Liver-intestine cadherin	5		DRG0CIZWI; DRG0HQVXQ; DRG0LBQXO; DRG0NIQTT; DRG0NRRBO	https://adcdb.idrblab.net/data/abt/details/TAR0PQIJF
TAR0NUXWI	Cadherin-3 (CDH3)	ADC_TARGET	CDHP; Placental cadherin	3		DRG0JNZLF; DRG0VNMKF; DRG0WWBVZ	https://adcdb.idrblab.net/data/abt/details/TAR0NUXWI
TAR0SOZLV	Cadherin-6 (CDH6)	ADC_TARGET	Kidney cadherin	13		DRG0AKFYV; DRG0BWNUI; DRG0CRDKL; DRG0DOTIX; DRG0EFAMN; DRG0MBYJG; DRG0SLFJV; DRG0SOAPH; DRG0UZQBB; DRG0VOIMW; DRG0XGLSR; DRG0YWAHM; DRG0ZBRFQ	https://adcdb.idrblab.net/data/abt/details/TAR0SOZLV
TAR0VNYPU	Carbonic anhydrase 6 (CA6)	ADC_TARGET	Carbonate dehydratase VI;Carbonic anhydrase VI;Salivary carbonic anhydrase;Secreted carbonic anhydrase	1		DRG0GZGHN	https://adcdb.idrblab.net/data/abt/details/TAR0VNYPU
