indication	n_adc_candidates
Plasma Cell Myeloma	1
Plasma Cell Myeloma Refractory	1
RELAPSED AND/OR REFRACTORY MULTIPLE MYELOMA	1
Refractory Plasmablastic Lymphoma	1
Relapse Multiple Myeloma	1
Relapsed Cancer	1
Relapsed Plasmablastic Lymphoma	1
Relapsed/Refractory Multiple Myeloma	1
B-cell Non Hodgkin Lymphoma	1
Burkitt's Lymphoma	1
Diffuse Large B-Cell Lymphoma Refractory	1
Diffuse Large B-cell Lymphoma Recurrent	1
Double-Expressor Lymphoma	1
Lymphoma, Marginal Zone	1
Primary Mediastinal B-cell Lymphoma	1
Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	1
Recurrent Grade 3b Follicular Lymphoma	1
Recurrent High Grade B-Cell Lymphoma	1
Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements	1
Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Recurrent Transformed Chronic Lymphocytic Leukemia	1
Recurrent Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma	1
Recurrent Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma	1
Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	1
Refractory Grade 3b Follicular Lymphoma	1
Refractory High Grade B-Cell Lymphoma	1
Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements	1
Refractory Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Refractory Transformed Chronic Lymphocytic Leukemia	1
Refractory Transformed Follicular Lymphoma to Diffuse Large B-Cell Lymphoma	1
Refractory Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma	1
Relapse	1
Relapsed Diffuse Large B-Cell Lymphoma	1
Relapsed Diffuse Large B-cell Lymphoma	1
Relapsed Follicular Lymphoma	1
Relapsed Non Hodgkin Lymphoma	1
Relapsed or Refractory Diffuse Large B-Cell Lymphoma (R/R DLBCL)	1
Relapsed or Refractory Large B-cell Lymphoma	1
Waldenstrom Macroglobulinemia	1
Carcinoma, Squamous Cell of Head and Neck	1
Cervix Cancer	1
Endometrium Cancer	1
Esophagus Cancer	1
Exocrine Pancreatic Cancer	1
Lung Cancer, Nonsmall Cell	1
Ovary Cancer	1
Recurrent or Metastatic Vulvar Cancer	1
Solid Malignancies	1
Squamous Cell Carcinoma Vulva	1
Squamous Cell Carcinoma of the Head and Neck	1
Vulvar Carcinoma	1
Advanced High-Grade Epithelial Ovarian Cancer	1
Anatomic Stage II Breast Cancer AJCC v8	1
Anatomic Stage IIA Breast Cancer AJCC v8	1
Anatomic Stage IIB Breast Cancer AJCC v8	1
Anatomic Stage IIIA Breast Cancer AJCC v8	1
Anatomic Stage IIIB Breast Cancer AJCC v8	1
Anatomic Stage IIIC Breast Cancer AJCC v8	1
BRCA1 Gene Mutation	1
BRCA2 Gene Mutation	1
Endometrial Adenocarcinoma	1
Endometrial Clear Cell Adenocarcinoma	1
Endometrial Serous Adenocarcinoma	1
Epithelial Ovarian Cancer	1
Estrogen Receptor Negative	1
Fallopian Tube Cancers	1
Folate Receptor Alpha Positive	1
Folate Receptor-Alpha Positive	1
HER2/Neu Negative	1
High Grade Ovarian Cancer	1
Neoadjuvant	1
Platinum Resistant Ovarian Cancer	1
Primary Peritoneal Cancer	1
Primary Peritoneal Carcinoma	1
Progesterone Receptor Negative	1
Prognostic Stage II Breast Cancer AJCC v8	1
Prognostic Stage IIA Breast Cancer AJCC v8	1
Prognostic Stage IIB Breast Cancer AJCC v8	1
Prognostic Stage III Breast Cancer AJCC v8	1
Prognostic Stage IIIA Breast Cancer AJCC v8	1
Prognostic Stage IIIB Breast Cancer AJCC v8	1
Prognostic Stage IIIC Breast Cancer AJCC v8	1
Recurrent Epithelial Ovarian, Fallopian or Peritoneal Carcinoma	1
Recurrent Fallopian Tube Carcinoma	1
Recurrent Ovarian Cancer	1
Recurrent Primary Peritoneal Carcinoma	1
Recurrent Uterine Carcinosarcoma	1
Recurrent Uterine Corpus Carcinoma	1
Recurrent Uterine Serous Carcinoma	1
Tumors	1
Advanced Cancer	1
Advanced Gastric Cancer	1
Advanced Gastroesophageal Adenocarcinoma	1
Advanced Melanoma	1
Biliary Tract Cancer	1
Breast Diseases	1
Capecitabine	1
Endometrial Neoplasms	1
Gynecological Malignancy	1
HER2	1
HER2 Low Breast Neoplasms	1
HER2 Overexpressing Gastric Carcinoma	1
HER2-expressing	1
HER2-positive Advanced Breast With Liver Metastases	1
HR Positive/HER2 Low Expression Metastatic Breast Cancer	1
Head and Neck Neoplasms	1
Her2 Overexpressing High-Risk Non-Muscle Invasive Bladder Urothelial Carcinoma	1
Melanoma, Stage II	1
Metastatic Gastric Cancer	1
Muscle Invasive Bladder Carcinoma	1
Neoadjuvant Treatment of Her2-positive Muscle-invasive Bladder Cance	1
Ovarian Neoplasms	1
Salivary Gland Tumors	1
Stomach Neoplasms	1
Advanced Non Small Cell Lung Cancer	1
Advanced Solid Tumors That Are MTAP Deficient	1
Advanced or Metastatic NSCLC	1
Angiosarcoma	1
EGFRm Advanced Non-Small Cell Lung Cancer	1
EGFRm Metastatic Non-Small Cell Lung Cancer	1
ER Positive Breast Cancer	1
ER-negative Breast Cancer	1
HER2 Negative Breast Carcinoma	1
Hormone Receptor Negative Tumor	1
Hormone Receptor Positive Tumor	1
Metastatic Lung Cancer	1
Metastatic Non Small Cell Lung Cancer	1
Metastatic Non-small Cell Lung Cancer	1
NSCLC	1
TNBC - Triple-Negative Breast Cancer	1
Unresectable Non-small Lung Cancer	1
HER2 Mutations Breast Neoplasms	1
Hormone Receptor Positive Breast Neoplasms	1
Advanced Solid Tumors Cancer	1
Glioblastoma	1
Glioblastoma Multiforme	1
Gliosarcoma	1
Follicular Lymphoma, Grade 3b	1
Lymphoma, Follicular, Grade 3b	1
Transformed Lymphoma / DLBCL	1
Small Cell Lung Carcinoma	1
Malignant Neoplasm	1
Solid Tumor, Adult	1
Head and Neck Cancer	1
Metastatic Cancer	1
Metastatic Squamous Cell Carcinoma of the Head and Neck	1
Recurrent Squamous Cell Carcinoma of the Head and Neck	1
Carcinoma, Non-Small-Cell Lung (NSCLC)	1
Extensive Stage-small Cell Lung Cancer	1
EGFR Gene Mutation	1
Non-Small Cell Lung Carcinoma	1
B-cell Acute Lymphoblastic Leukemia	1
Ewing Sarcoma	1
Neuroblastoma	1
Ovarian Cancer Recurrent	1
