indication	n_adc_candidates
Angioimmunoblastic T-Cell Lymphoma	1
Angioimmunoblastic T-cell Lymphoma	1
Ann Arbor Stage I Hodgkin Lymphoma	1
Ann Arbor Stage I Lymphocyte-Depleted Classic HL	1
Ann Arbor Stage I Mixed Cellularity Classic Hodgkin Lymphoma	1
Ann Arbor Stage I Nodular Sclerosis Classic Hodgkin Lymphoma	1
Ann Arbor Stage I Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Ann Arbor Stage IA Hodgkin Lymphoma	1
Ann Arbor Stage IB Hodgkin Lymphoma	1
Ann Arbor Stage II Hodgkin Lymphoma	1
Ann Arbor Stage II Lymphocyte-Depleted Classic HL	1
Ann Arbor Stage II Mixed Cellularity Classic HL	1
Ann Arbor Stage II Nodular Sclerosis Classic HL	1
Ann Arbor Stage II Noncutaneous Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage II Noncutaneous Childhood Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage II Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Ann Arbor Stage IIA Hodgkin Lymphoma	1
Ann Arbor Stage IIB Hodgkin Lymphoma	1
Ann Arbor Stage III Lymphocyte-Depleted Classic Hodgkin Lymphoma	1
Ann Arbor Stage III Mixed Cellularity Classic Hodgkin Lymphoma	1
Ann Arbor Stage III Nodular Sclerosis Classic Hodgkin Lymphoma	1
Ann Arbor Stage III Noncutaneous Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage III Noncutaneous Childhood Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage III Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Ann Arbor Stage IIIA Hodgkin Lymphoma	1
Ann Arbor Stage IIIB Hodgkin Lymphoma	1
Ann Arbor Stage IV Lymphocyte-Depleted Classic Hodgkin Lymphoma	1
Ann Arbor Stage IV Mixed Cellularity Classic Hodgkin Lymphoma	1
Ann Arbor Stage IV Nodular Sclerosis Classic Hodgkin Lymphoma	1
Ann Arbor Stage IV Noncutaneous Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage IV Noncutaneous Childhood Anaplastic Large Cell Lymphoma	1
Ann Arbor Stage IV Primary Mediastinal (Thymic) Large B-Cell Lymphoma	1
Ann Arbor Stage IVA Hodgkin Lymphoma	1
Ann Arbor Stage IVB Hodgkin Lymphoma	1
CD30-Positive Neoplastic Cells Present	1
CD30-positive Lymphoma	1
CD30-positive Solid Tumor	1
Classic Hodgkin Lymphoma	1
Cutaneous Lymphoma	1
Cutaneous T-Cell Lymphoma	1
Cutaneous T-cell Lymphoma (CTCL)	1
Diffuse Cutaneous Systemic Sclerosis	1
Diffuse Large B-cell-lymphoma	1
Disease, Hodgkin	1
Enteropathy Associated T-cell Lymphoma	1
Enteropathy-Associated T-Cell Lymphoma	1
GVHD	1
Germ Cell Cancer	1
Graft Versus Host Disease	1
Graft-vs-Host Disease	1
HIV Infection	1
Hematopoietic/Lymphoid Cancer	1
Hepato-splenic T-cell Lymphoma	1
Hepatosplenic T-Cell Lymphoma	1
Hodgkin Disease	1
