entity_id	entity_type	canonical_label	aliases	first_seen	last_seen	evidence_count	evidence_sources	confidence	status	associated_adc_candidates
ADC_LINKER_ACIDCLEAVABLEACBUTLINKERTYPICAL	ADC_LINKER	acid-cleavable AcBut linker (typical)				2	USAN_INN_NAMING_INFERENCE	medium	INFERRED	ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN; ADC_CANDIDATE_INOTUZUMAB_OZOGAMICIN
ADC_LINKER_VALINECITRULLINECLEAVABLELINKERTYPICAL	ADC_LINKER	valine-citrulline cleavable linker (typical)				18	TEXT_OBSERVED; TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_1a81094bebf4; ADC_CANDIDATE_ADC_SUFFIX_1c9d743cf54f; ADC_CANDIDATE_ADC_SUFFIX_29ab8f6ef000; ADC_CANDIDATE_ADC_SUFFIX_2aaade2f940a; ADC_CANDIDATE_ADC_SUFFIX_6e0bdde22a85; ADC_CANDIDATE_ADC_SUFFIX_7394fd247fe6; ADC_CANDIDATE_ADC_SUFFIX_8a46197896f6; ADC_CANDIDATE_ADC_SUFFIX_8e37de9e1d6b; ADC_CANDIDATE_ADC_SUFFIX_96a2cf3d74cc; ADC_CANDIDATE_ADC_SUFFIX_9feb2b8bd0bf; ADC_CANDIDATE_ADC_SUFFIX_c96d607d7f9f; ADC_CANDIDATE_ADC_SUFFIX_e1a3cb555c56; ADC_CANDIDATE_ADC_SUFFIX_f5c595efeea1; ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN; ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_ENFORTUMAB_VEDOTIN; ADC_CANDIDATE_POLATUZUMAB_VEDOTIN; ADC_CANDIDATE_TISOTUMAB_VEDOTIN
ADC_LINKER_SMCCNONCLEAVABLELINKERTYPICAL	ADC_LINKER	SMCC non-cleavable linker (typical)				2	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_dc8391435d51; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE
ADC_LINKER_CLEAVABLEGGFGPEPTIDELINKERTYPICAL	ADC_LINKER	cleavable GGFG peptide linker (typical)				7	TEXT_OBSERVED; TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_5d5b94f8644a; ADC_CANDIDATE_ADC_SUFFIX_76452e9163ef; ADC_CANDIDATE_ADC_SUFFIX_91ba91f14300; ADC_CANDIDATE_ADC_SUFFIX_d1e372057963; ADC_CANDIDATE_ADC_SUFFIX_d82b69ba971c; ADC_CANDIDATE_DATOPOTAMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN
ADC_LINKER_CLEAVABLECL2ALINKERTYPICAL	ADC_LINKER	cleavable CL2A linker (typical)				2	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_5a33565c2c4a; ADC_CANDIDATE_SACITUZUMAB_GOVITECAN
ADC_LINKER_MALEIMIDOCAPROYLNONCLEAVABLELINKERTYPICAL	ADC_LINKER	maleimidocaproyl non-cleavable linker (typical)				3	TEXT_OBSERVED; TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_4e000bdcb848; ADC_CANDIDATE_ADC_SUFFIX_9ba9a67ff4b7; ADC_CANDIDATE_BELANTAMAB_MAFODOTIN
ADC_LINKER_CLEAVABLELINKERTYPICAL	ADC_LINKER	cleavable linker (typical)				6	USAN_INN_NAMING_INFERENCE	medium	INFERRED	ADC_CANDIDATE_ADC_SUFFIX_05559b619db9; ADC_CANDIDATE_ADC_SUFFIX_4430b899e4df; ADC_CANDIDATE_ADC_SUFFIX_d815f98ea574; ADC_CANDIDATE_ADC_SUFFIX_edd132c422d7; ADC_CANDIDATE_ADC_SUFFIX_f9862657f765; ADC_CANDIDATE_LONCASTUXIMAB_TESIRINE
ADC_LINKER_SPDBBASEDCLEAVABLELINKERTYPICAL	ADC_LINKER	SPDB-based cleavable linker (typical)				2	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_db7ba4560b41; ADC_CANDIDATE_MIRVETUXIMAB_SORAVTANSINE
ADC_LINKER_DISULFIDEBASEDCLEAVABLELINKERTYPICALFOREARLIERMERTANSINECLASSCONJUGATES	ADC_LINKER	disulfide-based cleavable linker (typical for earlier -mertansine-class conjugates)				1	USAN_INN_NAMING_INFERENCE	medium	INFERRED	ADC_CANDIDATE_ADC_SUFFIX_5cec87e4122f
