entity_id	entity_type	canonical_label	aliases	first_seen	last_seen	evidence_count	evidence_sources	confidence	status	associated_adc_candidates
ADC_PAYLOAD_CALICHEAMICIN	ADC_PAYLOAD	calicheamicin				2	TEXT_VALIDATED_CROSS_CORPUS	high	VALIDATED	ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN; ADC_CANDIDATE_INOTUZUMAB_OZOGAMICIN
ADC_PAYLOAD_MMAEMONOMETHYLAURISTATINE	ADC_PAYLOAD	MMAE (monomethyl auristatin E)				18	TEXT_OBSERVED; TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_1a81094bebf4; ADC_CANDIDATE_ADC_SUFFIX_1c9d743cf54f; ADC_CANDIDATE_ADC_SUFFIX_29ab8f6ef000; ADC_CANDIDATE_ADC_SUFFIX_2aaade2f940a; ADC_CANDIDATE_ADC_SUFFIX_6e0bdde22a85; ADC_CANDIDATE_ADC_SUFFIX_7394fd247fe6; ADC_CANDIDATE_ADC_SUFFIX_8a46197896f6; ADC_CANDIDATE_ADC_SUFFIX_8e37de9e1d6b; ADC_CANDIDATE_ADC_SUFFIX_96a2cf3d74cc; ADC_CANDIDATE_ADC_SUFFIX_9feb2b8bd0bf; ADC_CANDIDATE_ADC_SUFFIX_c96d607d7f9f; ADC_CANDIDATE_ADC_SUFFIX_e1a3cb555c56; ADC_CANDIDATE_ADC_SUFFIX_f5c595efeea1; ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN; ADC_CANDIDATE_DISITAMAB_VEDOTIN; ADC_CANDIDATE_ENFORTUMAB_VEDOTIN; ADC_CANDIDATE_POLATUZUMAB_VEDOTIN; ADC_CANDIDATE_TISOTUMAB_VEDOTIN
ADC_PAYLOAD_DM1MAYTANSINOID	ADC_PAYLOAD	DM1 (maytansinoid)				3	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_5cec87e4122f; ADC_CANDIDATE_ADC_SUFFIX_dc8391435d51; ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE
ADC_PAYLOAD_ANEXATECANDERIVATIVETOPOISOMERASE1INHIBITOR	ADC_PAYLOAD	an exatecan derivative (topoisomerase-1 inhibitor)				7	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_5d5b94f8644a; ADC_CANDIDATE_ADC_SUFFIX_76452e9163ef; ADC_CANDIDATE_ADC_SUFFIX_91ba91f14300; ADC_CANDIDATE_ADC_SUFFIX_d1e372057963; ADC_CANDIDATE_ADC_SUFFIX_d82b69ba971c; ADC_CANDIDATE_DATOPOTAMAB_DERUXTECAN; ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN
ADC_PAYLOAD_SN38TOPOISOMERASE1INHIBITORIRINOTECANMETABOLITE	ADC_PAYLOAD	SN-38 (topoisomerase-1 inhibitor, irinotecan metabolite)				2	TEXT_VALIDATED_CROSS_CORPUS	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_5a33565c2c4a; ADC_CANDIDATE_SACITUZUMAB_GOVITECAN
ADC_PAYLOAD_MMAFMONOMETHYLAURISTATINF	ADC_PAYLOAD	MMAF (monomethyl auristatin F)				3	TEXT_VALIDATED_CROSS_CORPUS	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_4e000bdcb848; ADC_CANDIDATE_ADC_SUFFIX_9ba9a67ff4b7; ADC_CANDIDATE_BELANTAMAB_MAFODOTIN
ADC_PAYLOAD_APBDPYRROLOBENZODIAZEPINEDIMER	ADC_PAYLOAD	a PBD (pyrrolobenzodiazepine) dimer				4	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_4430b899e4df; ADC_CANDIDATE_ADC_SUFFIX_d815f98ea574; ADC_CANDIDATE_ADC_SUFFIX_f9862657f765; ADC_CANDIDATE_LONCASTUXIMAB_TESIRINE
ADC_PAYLOAD_DM4MAYTANSINOID	ADC_PAYLOAD	DM4 (maytansinoid)				2	TEXT_VALIDATED_CROSS_CORPUS; USAN_INN_NAMING_INFERENCE	high	VALIDATED	ADC_CANDIDATE_ADC_SUFFIX_db7ba4560b41; ADC_CANDIDATE_MIRVETUXIMAB_SORAVTANSINE
ADC_PAYLOAD_ADUOCARMYCINANALOGDNAMINORGROOVEALKYLATINGAGENT	ADC_PAYLOAD	a duocarmycin analog (DNA minor-groove alkylating agent)				2	USAN_INN_NAMING_INFERENCE	medium	INFERRED	ADC_CANDIDATE_ADC_SUFFIX_05559b619db9; ADC_CANDIDATE_ADC_SUFFIX_edd132c422d7
