candidate_id	candidate_type	candidate_label	source	evidence_id	context	first_seen	confidence	validation_status	reason	modality_classification	modality_detail
ADC_SUFFIX_8a0c1d72a01d	ADC_CANDIDATE	CLDN6-23	europe_pmc	MED:36884217	development-code + explicit ADC-context match; example: Preclinical Efficacy of the Antibody-Drug Conjugate CLDN6-23-ADC for the Treatment of CLDN6-Positive Solid Tumors.	2023-06-01	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_8e8b7fb05ddc	ADC_CANDIDATE	CDX-011	europe_pmc	MED:37095531; PPR:PPR570886	development-code + explicit ADC-context match; example: High-throughput and targeted drug screens identify pharmacological candidates against MiT-translocation renal cell carcinoma.	2022-11-14	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_c3fa66b6978b	ADC_CANDIDATE	ITC-6102RO	europe_pmc	MED:37596639; PPR:PPR666454	development-code + explicit ADC-context match; example: ITC-6102RO, A Novel B7-H3 Antibody-Drug Conjugate, Exhibits Potent Therapeutic Effects against B7-H3 Expressing Solid Tumors	2023-05-25	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_6ff3402066b4	ADC_CANDIDATE	ABBV-3373	europe_pmc	MED:37596703	development-code + explicit ADC-context match; example: A first-in-human study of the novel immunology antibody-drug conjugate, ABBV-3373, in healthy participants.	2023-09-04	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_a581010d4c95	ADC_CANDIDATE	FS-1502	europe_pmc	MED:37926561; MED:38886347	development-code + explicit ADC-context match; example: HER2-targeting antibody drug conjugate FS-1502 in HER2-expressing metastatic breast cancer: a phase 1a/1b trial.	2024-01-25	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_0a707a8f4251	ADC_CANDIDATE	AbGn-107	conference_abstract_corpus; europe_pmc	10.1200/jco.2020.38.15_suppl.e16771; MED:38441850	development-code + explicit ADC-context match; example: A multicenter phase Ia study of AbGn-107, a novel antibody-drug conjugate, in patients with advanced gastrointestinal cancer.	2020-05-20	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_4b3fbc19c1fa	ADC_CANDIDATE	TE-1146	conference_abstract_corpus; europe_pmc	10.1158/1538-7445.am2023-lb209; MED:38477561	development-code + explicit ADC-context match; example: Abstract LB209: An ADC composed of daratumumab and lenalidomide is extremely powerful in killing multiple myeloma cells	2023-04-14	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_c9d307e32ffe	ADC_CANDIDATE	BB-1701	conference_abstract_corpus; europe_pmc	10.1200/jco.2024.42.16_suppl.tps1122; MED:39036069	development-code + explicit ADC-context match; example: An open-label, multicenter, phase 2 study to evaluate the safety and efficacy of BB-1701, a novel antibody drug conjugate (ADC) targeting human epider	2024-06-01	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_7110008161b4	ADC_CANDIDATE	AM1-15	europe_pmc	MED:39365864	development-code + explicit ADC-context match; example: BCL-X&lt;sub&gt;L&lt;/sub&gt;-targeting antibody-drug conjugates are active in preclinical models and mitigate on-mechanism toxicity of small-molecule	2024-10-04	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_05fcce258fda	ADC_CANDIDATE	NBE-002	conference_abstract_corpus; europe_pmc	10.1200/jco.2021.39.15_suppl.tps1108; MED:40297621	development-code + explicit ADC-context match; example: NBE-002: A novel anthracycline-based antibody-drug conjugate (ADC) targeting ROR1 for the treatment of advanced solid tumors—A phase 1/2 clinical tria	2021-05-20	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
